iter	Passed	Remaining
0	4	4829
1	21	10800
2	28	9392
3	35	8730
4	43	8560
5	52	8730
6	63	9073
7	71	8869
8	81	8940
9	85	8479
10	100	9040
11	105	8726
12	114	8697
13	119	8394
14	125	8273
15	132	8154
16	143	8286
17	148	8107
18	156	8069
19	161	7922
20	166	7750
21	174	7777
22	183	7798
23	189	7710
24	195	7642
25	201	7557
26	207	7465
27	211	7348
28	216	7234
29	229	7432
30	235	7362
31	242	7329
32	247	7261
33	255	7249
34	261	7204
35	269	7221
36	276	7187
37	291	7372
38	298	7355
39	302	7265
40	311	7294
41	320	7300
42	327	7294
43	333	7255
44	338	7184
45	342	7111
46	350	7099
47	358	7117
48	363	7059
49	375	7136
50	381	7103
51	391	7132
52	396	7084
53	401	7031
54	406	6976
55	410	6919
56	416	6887
57	421	6845
58	426	6809
59	433	6791
60	444	6837
61	453	6866
62	458	6820
63	465	6805
64	471	6779
65	479	6792
66	486	6775
67	493	6761
68	496	6704
69	500	6650
70	504	6601
71	508	6550
72	512	6502
73	516	6461
74	520	6424
75	524	6381
76	528	6334
77	532	6290
78	537	6263
79	540	6216
80	543	6167
81	547	6131
82	551	6094
83	555	6054
84	559	6028
85	564	5997
86	571	5993
87	574	5956
88	578	5920
89	582	5894
90	587	5872
91	591	5836
92	595	5805
93	598	5772
94	602	5738
95	606	5708
96	610	5680
97	614	5651
98	619	5637
99	623	5608
100	627	5587
101	632	5571
102	636	5545
103	640	5518
104	644	5490
105	648	5466
106	652	5442
107	655	5416
108	659	5389
109	662	5362
110	666	5338
111	670	5316
112	673	5289
113	676	5261
114	680	5235
115	683	5210
116	687	5185
117	691	5168
118	693	5135
119	698	5119
120	701	5096
121	705	5077
122	708	5052
123	711	5028
124	717	5021
125	722	5009
126	725	4990
127	729	4971
128	733	4953
129	738	4938
130	741	4918
131	744	4898
132	748	4878
133	752	4866
134	756	4849
135	760	4830
136	765	4821
137	785	4904
138	793	4917
139	804	4943
140	811	4940
141	818	4944
142	821	4925
143	825	4908
144	829	4889
145	833	4874
146	837	4857
147	840	4839
148	844	4821
149	847	4803
150	851	4789
151	855	4771
152	858	4753
153	862	4737
154	865	4720
155	870	4707
156	873	4689
157	876	4671
158	881	4662
159	885	4647
160	890	4640
161	894	4626
162	899	4617
163	902	4601
164	906	4585
165	909	4568
166	912	4553
167	916	4540
168	920	4528
169	924	4512
170	928	4501
171	932	4486
172	935	4472
173	939	4457
174	942	4443
175	945	4427
176	950	4417
177	954	4406
178	957	4391
179	961	4381
180	966	4372
181	970	4361
182	974	4350
183	978	4340
184	981	4325
185	985	4312
186	989	4300
187	992	4286
188	996	4275
189	1000	4263
190	1003	4250
191	1007	4239
192	1012	4234
193	1016	4223
194	1020	4211
195	1024	4202
196	1028	4192
197	1035	4196
198	1039	4184
199	1046	4184
200	1049	4173
201	1053	4163
202	1057	4151
203	1061	4143
204	1065	4132
205	1070	4124
206	1073	4113
207	1079	4110
208	1083	4099
209	1086	4089
210	1090	4077
211	1093	4066
212	1097	4056
213	1101	4045
214	1105	4034
215	1108	4024
216	1112	4014
217	1116	4006
218	1120	3996
219	1124	3986
220	1129	3980
221	1132	3970
222	1136	3960
223	1140	3950
224	1144	3943
225	1148	3934
226	1152	3925
227	1156	3916
228	1161	3912
229	1166	3904
230	1169	3894
231	1174	3887
232	1179	3881
233	1182	3872
234	1186	3863
235	1190	3855
236	1194	3845
237	1198	3836
238	1201	3825
239	1204	3815
240	1208	3806
241	1211	3795
242	1215	3787
243	1220	3780
244	1223	3770
245	1226	3759
246	1231	3753
247	1235	3744
248	1238	3735
249	1243	3730
250	1246	3721
251	1250	3711
252	1253	3701
253	1258	3694
254	1261	3685
255	1265	3677
256	1268	3668
257	1272	3659
258	1276	3652
259	1280	3643
260	1284	3636
261	1287	3627
262	1291	3619
263	1295	3611
264	1298	3602
265	1301	3592
266	1305	3585
267	1309	3577
268	1313	3570
269	1317	3563
270	1321	3554
271	1324	3545
272	1329	3540
273	1333	3531
274	1336	3523
275	1340	3516
276	1344	3510
277	1348	3502
278	1351	3493
279	1356	3487
280	1360	3481
281	1365	3476
282	1368	3468
283	1372	3460
284	1376	3453
285	1379	3443
286	1382	3435
287	1386	3428
288	1391	3422
289	1394	3414
290	1397	3405
291	1401	3397
292	1404	3389
293	1408	3382
294	1412	3376
295	1416	3368
296	1419	3361
297	1425	3358
298	1428	3349
299	1432	3341
300	1435	3333
301	1438	3325
302	1442	3318
303	1446	3312
304	1450	3304
305	1454	3298
306	1458	3291
307	1462	3285
308	1465	3277
309	1468	3269
310	1472	3263
311	1476	3255
312	1480	3248
313	1483	3241
314	1488	3236
315	1492	3229
316	1496	3223
317	1499	3216
318	1503	3209
319	1507	3203
320	1511	3197
321	1515	3190
322	1518	3183
323	1523	3178
324	1529	3175
325	1532	3168
326	1537	3164
327	1543	3161
328	1547	3156
329	1552	3152
330	1558	3149
331	1562	3143
